央視頻道,#genre#
CCTV1,http://183.30.201.227:10002/rtp/239.77.0.86:5146
CCTV1,http://183.30.201.227:10002/rtp/239.77.0.119:5146
CCTV1,http://183.30.201.227:10002/rtp/239.77.1.17:5146
CCTV1,http://183.30.201.227:10002/rtp/239.77.0.129:5146
CCTV2,http://183.30.201.227:10002/rtp/239.77.0.137:5146
CCTV2,http://183.30.201.227:10002/rtp/239.77.1.158:5146
CCTV3,http://183.30.201.227:10002/rtp/239.77.0.169:5146
CCTV3,http://183.30.201.227:10002/rtp/239.77.1.7:5146
CCTV4,http://183.30.201.227:10002/rtp/239.77.0.78:5146
CCTV4,http://183.30.201.227:10002/rtp/239.77.1.163:5146
CCTV4,http://183.30.201.227:10002/rtp/239.77.1.166:5146
CCTV4欧洲,http://183.30.201.227:10002/rtp/239.253.43.120:5146
CCTV4美洲,http://183.30.201.227:10002/rtp/239.253.43.121:5146
CCTV5,http://183.30.201.227:10002/rtp/239.77.0.170:5146
CCTV5,http://183.30.201.227:10002/rtp/239.77.1.8:5146
CCTV5,http://183.30.201.227:10002/rtp/239.77.0.34:5146
CCTV5+,http://183.30.201.227:10002/rtp/239.77.0.87:5146
CCTV5+,http://183.30.201.227:10002/rtp/239.77.1.31:5146
CCTV6,http://183.30.201.227:10002/rtp/239.77.0.171:5146
CCTV6,http://183.30.201.227:10002/rtp/239.77.1.9:5146
CCTV7,http://183.30.201.227:10002/rtp/239.77.0.138:5146
CCTV7,http://183.30.201.227:10002/rtp/239.77.1.159:5146
CCTV8,http://183.30.201.227:10002/rtp/239.77.0.172:5146
CCTV8,http://183.30.201.227:10002/rtp/239.77.1.10:5146
CCTV9,http://183.30.201.227:10002/rtp/239.77.0.135:5146
CCTV9,http://183.30.201.227:10002/rtp/239.77.1.160:5146
CCTV10,http://183.30.201.227:10002/rtp/239.77.0.134:5146
CCTV10,http://183.30.201.227:10002/rtp/239.77.1.113:5146
CCTV11,http://183.30.201.227:10002/rtp/239.77.1.108:5146
CCTV11,http://183.30.201.227:10002/rtp/239.77.1.238:5146
CCTV12,http://183.30.201.227:10002/rtp/239.77.0.136:5146
CCTV12,http://183.30.201.227:10002/rtp/239.77.1.109:5146
CCTV13,http://183.30.201.227:10002/rtp/239.77.0.188:5146
CCTV13,http://183.30.201.227:10002/rtp/239.253.43.196:5146
